Component,Type,Category,Value,Package,Quantity,Location,Datasheet,Projects_Used,Date_Added,Status,Notes
LCD16x2,Display,Display,16x2 Character,HD44780 Compatible,1,Storage,[Add datasheet link],None yet,24.10.25,Available,LCD Screen compatible with Hitachi HD44780 driver
DSO138mini,Test Equipment,Oscilloscope,0-200kHz BW,DIY Kit,1,[Add location],[Add datasheet],Photoresistor PWM Analysis,24.10.25,Available,Digital storage oscilloscope DIY kit for Arduino signal analysis
Arduino-Uno-R3,Development Board,Microcontroller,ATmega328P 5V 16MHz,Arduino Compatible,1,[Add location],[Add datasheet],All Arduino Projects,24.10.25,Available,Primary development board for embedded programming and electronics prototyping
Arduino-Leonardo,Development Board,Microcontroller,ATmega32u4 5V 16MHz USB,Arduino Compatible,1,[Add location],[Add datasheet],HID and USB Projects,24.10.25,Available,USB-native microcontroller for keyboard mouse and custom HID device development
LED-Red,LED,Visual-Feedback,2.0V Forward 20mA,5mm Through-Hole,20,[Add location],[Standard],Status Indicators,24.10.25,Available,Red LEDs for alerts power indicators and error states
LED-Green,LED,Visual-Feedback,2.2V Forward 20mA,5mm Through-Hole,20,[Add location],[Standard],Ready States,24.10.25,Available,Green LEDs for success ready states and go signals
LED-Blue,LED,Visual-Feedback,3.2V Forward 20mA,5mm Through-Hole,20,[Add location],[Standard],Information Display,24.10.25,Available,Blue LEDs for data activity and information indicators
LED-White,LED,Visual-Feedback,3.2V Forward 20mA,5mm Through-Hole,20,[Add location],[Standard],General Illumination,24.10.25,Available,White LEDs for bright status indication and task lighting
LED-Yellow,LED,Visual-Feedback,2.1V Forward 20mA,5mm Through-Hole,20,[Add location],[Standard],Warning Signals,24.10.25,Available,Yellow LEDs for caution warnings and processing indicators
LED-RGB,LED,Visual-Feedback,R:2.0V G:2.2V B:3.2V,5mm Common-Anode,5,[Add location],[Standard],Color Effects,24.10.25,Available,RGB LEDs for full spectrum color displays and advanced effects
Resistor-47ohm,Resistor,Current-Limiting,47Ω 1/4W 5%,Carbon Film,50+,[Add location],[Standard],LED Power Applications,24.10.25,Available,High current limiting for power LEDs and motor circuits with transistor drivers
Resistor-100ohm,Resistor,Current-Limiting,100Ω 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Low-Drop LED Control,24.10.25,Available,Low-voltage LED current limiting and impedance matching applications
Resistor-220ohm,Resistor,Current-Limiting,220Ω 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Standard LED Control,24.10.25,Available,Most common LED current limiting resistor for 5V Arduino applications
Resistor-330ohm,Resistor,Current-Limiting,330Ω 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Conservative LED Control,24.10.25,Available,Conservative LED current limiting for safe prototyping and learning
Resistor-1k2,Resistor,General-Purpose,1.2kΩ 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Signal Conditioning,24.10.25,Available,Moderate pull-ups and signal conditioning applications
Resistor-2k2,Resistor,General-Purpose,2.2kΩ 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Balanced General Purpose,24.10.25,Available,General-purpose pull-ups and voltage divider applications
Resistor-4k7,Resistor,Pull-Up,4.7kΩ 1/4W 5%,Carbon Film,50+,[Add location],[Standard],I2C Communication,24.10.25,Available,Standard I2C pull-up resistor for SDA/SCL lines
Resistor-10k,Resistor,Voltage-Divider,10kΩ 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Sensor Interfaces,24.10.25,Available,Most versatile resistor - voltage dividers pull-ups and sensor applications
Resistor-47k,Resistor,High-Impedance,47kΩ 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Low-Power Applications,24.10.25,Available,High-impedance sensor interfaces and ultra-low power applications  
Resistor-56k,Resistor,High-Impedance,56kΩ 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Timing Circuits,24.10.25,Available,Precision voltage references and RC timing applications
Resistor-100k,Resistor,High-Impedance,100kΩ 1/4W 5%,Carbon Film,50+,[Add location],[Standard],Ultra-High Impedance,24.10.25,Available,Ultra-low power and precision measurement applications
IR-LED-LIRED5B-880,IR Communication,Transmitter,880nm IR 100mA max,5mm Through-Hole,1,[Add location],[Add datasheet],Remote Control Projects,24.10.25,Available,Infrared transmitter LED for wireless communication and remote control applications
IR-Receiver-TSOP2236,IR Communication,Receiver,36kHz Modulated,3-pin DIP Module,1,[Add location],[Add datasheet],Remote Control Projects,24.10.25,Available,36kHz infrared receiver module with built-in amplification and filtering
LDR5539-Photoresistor,Sensor,Light-Sensing,500Ω-20MΩ CdS,5mm Round,5,[Add location],[Standard],Light-Responsive Projects,24.10.25,Available,Cadmium sulfide photoresistor for ambient light detection and responsive automation
DS18B20-Temperature,Sensor,Temperature,±0.5°C Digital -55°C to +125°C,TO-92 Package,1,[Add location],[Add datasheet],Environmental Monitoring,24.10.25,Available,High-precision digital temperature sensor with 1-Wire interface
Breadboard-Large,Prototyping,Platform,830 tie-points 17cm,Solderless,1,[Add location],[Standard],All Projects,24.10.25,Available,Large breadboard for complex multi-component circuit construction and integration
Breadboard-Small,Prototyping,Platform,400 tie-points 7cm,Solderless,2,[Add location],[Standard],Module Testing,24.10.25,Available,Small breadboards for individual component testing and modular development
Jumper-Wires-M2M,Prototyping,Connection,Various lengths,Male-to-Male,Many,[Add location],[Standard],All Breadboard Projects,24.10.25,Available,Male-to-male jumper wires for breadboard connections and Arduino interfacing
PCF8574N,IC,Digital-Controller,I2C I/O Expander 8-pin,8-pin DIP,1,[Add location],[Add datasheet],Pin Expansion Projects,24.10.25,Available,I2C I/O expander enabling 8 additional pins via 2-wire interface with address selection
74HC595,IC,Digital-Controller,Serial-to-Parallel 8-bit,16-pin DIP,5,[Add location],[Add datasheet],LED Matrix Output Expansion,24.10.25,Available,Shift register collection enabling massive output expansion via 3-wire serial control with cascading capability
Potentiometer-10k,User-Interface,Analog-Input,10kΩ Linear Taper,Through-Hole Rotary,1,[Add location],[Standard],General Analog Control,24.10.25,Available,Standard potentiometer for analog input sensor calibration and motor speed control
Potentiometer-5k,User-Interface,Analog-Input,5kΩ Linear Taper,Through-Hole Rotary,1,[Add location],[Standard],LCD Contrast Fine Control,24.10.25,Available,Lower impedance potentiometer for LCD contrast control and precision analog applications
4x4-Matrix-Keypad,User-Interface,Digital-Input,16-Key Matrix Tactile,4x4 Grid Module,1,[Add location],[Add datasheet],Professional Control Panels,24.10.25,Available,Mechanical matrix keypad with tactile switches for professional menu navigation and direct function access
4x4-Membrane-Keypad,User-Interface,Digital-Input,16-Key Membrane Switch,4x4 Sealed Panel,1,[Add location],[Add datasheet],Industrial Control Stations,24.10.25,Available,Sealed membrane keypad for industrial environments requiring moisture and contamination protection
LCD-20x4,Display,Large-Display,20x4 Character HD44780,5V Backlit Module,1,[Add location],[Add datasheet],Professional HMI Systems,24.10.25,Available,Large format LCD display with 80 character capacity for professional human machine interfaces
MSP1541-IPS-LCD,Display,Color-Graphics,1.54" 240x240 IPS ST7789,SPI Color Module,1,[Add location],[Add datasheet],Color Graphics Projects,24.10.25,Available,High-quality IPS display with 240x240 resolution 65K colors and ST7789 driver for Arduino color graphics
Waveshare-2inch-IPS,Display,Color-Graphics,2.0" 240x320 IPS ST7789,SPI RGB Module,1,[Add location],[Add datasheet],Professional GUI Systems,24.10.25,Available,Premium 2-inch IPS display with 240x320 resolution 262K colors and advanced graphics capabilities
Capacitor-1000uF,Capacitor,Power-Filtering,1000µF 25V Electrolytic,Cylindrical Polarized,2,[Add location],[Standard],Main Power Supply Filtering,24.10.25,Available,Large electrolytic capacitors for primary power supply filtering and energy storage applications
Capacitor-220uF,Capacitor,Power-Filtering,220µF 25V Electrolytic,Cylindrical Polarized,4,[Add location],[Standard],Secondary Power Filtering,24.10.25,Available,Medium capacity electrolytic capacitors for local power filtering and audio applications
Capacitor-200uF,Capacitor,Power-Filtering,200µF 25V Electrolytic,Cylindrical Polarized,3,[Add location],[Standard],Intermediate Power Filtering,24.10.25,Available,Intermediate capacity electrolytic capacitors for power regulation and motor drive circuits
Capacitor-10uF,Capacitor,Decoupling,10µF 25V Electrolytic,Small Cylindrical Polarized,9,[Add location],[Standard],IC Power Decoupling,24.10.25,Available,Small electrolytic capacitors for IC decoupling and local energy storage applications
Capacitor-100nF,Capacitor,Bypass,100nF 50V Ceramic,5mm Rectangular Non-Polarized,20,[Add location],[Standard],High-Frequency Decoupling,24.10.25,Available,Ceramic bypass capacitors for high-frequency noise suppression and IC decoupling
Transistor-BC546B,Transistor,NPN-BJT,Low-Noise NPN hFE>200,TO-92 CBE Pinout,3,[Add location],[Add datasheet],Low-Noise Amplification,24.10.25,Available,Low-noise NPN transistor for high-gain audio and RF amplification applications
Transistor-BC546,Transistor,NPN-BJT,General Purpose NPN hFE>110,TO-92 CBE Pinout,3,[Add location],[Add datasheet],General Switching,24.10.25,Available,Standard NPN transistor for general-purpose switching and amplification circuits
Transistor-BC547B,Transistor,NPN-BJT,Low-Noise Switching NPN hFE>200,TO-92 CBE Pinout,5,[Add location],[Add datasheet],Fast Switching,24.10.25,Available,Low-noise NPN transistor optimized for fast switching and digital interfacing
Transistor-BC556,Transistor,PNP-BJT,Complementary PNP hFE>110,TO-92 EBC Pinout,4,[Add location],[Add datasheet],High-Side Switching,24.10.25,Available,PNP complement transistor for high-side switching and push-pull configurations
Transistor-BS170,Transistor,N-MOSFET,Logic Level N-Channel RDS<5Ω,TO-92 GSD Pinout,4,[Add location],[Add datasheet],Logic Level Switching,24.10.25,Available,Logic-level N-channel MOSFET for fast switching and PWM applications
Push-Button,Button,User-Interface,SPST Momentary Tactile,6mm Through-Hole,9,[Add location],[Standard],User Input Interface,24.10.25,Available,Standard tactile push buttons for user input debouncing and interface applications
HLS8L-DC5V-S-C,Relay,Switching,SPDT 5V DC Coil Subminiature,PCB Mount Electromagnetic,1,[Add location],[Add datasheet],High Power Load Control,24.10.25,Available,Subminiature SPDT electromagnetic relay for 5V DC coil voltage switching applications
L7805ABV,Voltage-Regulator,Power-Supply,5V Fixed Linear Regulator 1.5A,TO-220 Package,2,[Add location],[Add datasheet],Stable 5V Power Supply,24.10.25,Available,Three-terminal positive linear voltage regulator providing stable 5V output with 1.5A maximum current
IRL540N,Power-MOSFET,High-Current-Switching,N-Channel 100V 36A Logic Level,TO-220 Package,5,[Add location],[Add datasheet],High Power Motor Control,24.10.25,Available,N-channel power MOSFET for high-current switching applications with 100V rating and 36A capacity
1N4148,Diode,Signal-Switching,Fast Switching 75V 150mA,DO-35 Glass Axial,10,[Add location],[Add datasheet],General Purpose Switching,24.10.25,Available,Standard silicon switching signal diode for general-purpose switching clipping clamping and transient voltage protection
Choke-10uH,Inductor,RF-Filtering,10µH Axial Lead,Color Coded Axial,2,[Add location],[Add datasheet],High-Frequency Filtering,24.10.25,Available,10 microhenry axial choke inductor for RF filtering noise suppression and energy storage applications
Choke-1mH,Inductor,Power-Filtering,1mH Axial Lead,Color Coded Axial,2,[Add location],[Add datasheet],Power Supply Filtering,24.10.25,Available,1 millihenry axial choke inductor for power supply filtering switching regulator applications and EMI suppression
CC1101,RF-Transceiver,Wireless-Communication,Sub-1GHz ISM/SRD Band SPI Interface,Module with Antenna,2,[Add location],[Add datasheet],Wireless Sensor Networks IoT,24.10.25,Available,Ultra-low-power sub-1GHz RF transceiver for 315/433/868/915MHz ISM band wireless communication and IoT applications